Term,CRN,Subject,Course Number,Sequence,Title,Credit Hours,Schedule Code,Status,Maximum Enrollment,Actual Enrollment,Seats Available,CrossList Group,CrossList Courses,CrossList Max Enrollment,CrossList Actual Enrollment,Crosslist Seats Available,Primary Instructor Last Name,Primary Instructor First Name,Primary Instructor Username,Instructor2 Last Name,Instructor2 First Name,Instructor2 Username,Instructor3 Last Name,Instructor3 First Name,Instructor3 Username,Begin Time1,End Time1,Building Code1,Room1,Monday1,Tuesday1,Wednesday1,Thursday1,Friday1,Saturday1,Sunday1,Begin Time2,End Time2,Building Code2,Room2,Monday2,Tuesday2,Wednesday2,Thursday2,Friday2,Saturday2,Sunday2,Begin Time3,End Time3,Building Code3,Room3,Monday3,Tuesday3,Wednesday3,Thursday3,Friday3,Saturday3,Sunday3,CIP Code,CIP Description,All Perspectives,Practical Reasoning,Arts Perspective,Social Science Perspective,Western History Perspective,Religion Perspective,Afr Amer Appl Wmn Perspective,International Perspective,Course Fee,Prerequisites
201713,30208,CFS,395,C,Child Development Internship,1,F,A,0,1,-1,,,,,,Mecham,Neil,mechamn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Unknown CIP,(Active Learning Experience),,,,,,,,,
201713,30209,CFS,395,D,Dom. Violence Shelter Intern,1,F,A,0,1,-1,,,,,,Mecham,Neil,mechamn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Unknown CIP,(Active Learning Experience),,,,,,,,,
201713,30210,CFS,395,E,Equine Therapy Internship,1,F,A,0,1,-1,,,,,,Srsic,Melody,srsicm,Blythe,Janice,blythej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Unknown CIP,(Active Learning Experience),,,,,,,,,
201713,30211,CFS,395,F,Social Work Internship,1,F,A,0,1,-1,,,,,,Rivers Thompson,Katrina,riversk,Bouma,Jill,boumaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Unknown CIP,(Active Learning Experience),,,,,,,,,
201713,30212,CHM,495,C,WV Health Right Clinic Asst.,1,F,A,0,1,-1,,,,,,Baltisberger,Jay,baltisbergerj,Bouma,Jill,boumaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400501,"Chemistry, General",(Active Learning Experience),,,,,,,,,
201713,30213,COM,395,H,Solutions for Journalism,1,F,A,0,1,-1,,,,,,Dickerson,Jacob,dickersonj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231001,Speech & Rhetorical Studies,(Active Learning Experience),,,,,,,,,
201713,30214,COM,395,I,Social Media & Mktg Internship,1,F,A,0,1,-1,,,,,,Dickerson,Jacob,dickersonj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231001,Speech & Rhetorical Studies,(Active Learning Experience),,,,,,,,,
201713,30215,COM,395,J,Soc Media Mktg Internship,1,F,A,0,1,-1,,,,,,Brown,Kennaria,brownke,Hackbert,Peter,hackbertp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231001,Speech & Rhetorical Studies,(Active Learning Experience),,,,,,,,,
201713,30216,CSC,495,D,Software Engineering: El Toro,1,F,A,0,1,-1,,,,,,Nakazawa,Mario,nakazawam,Pearce,Janice,pearcej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110101,"Computer/Information Sci, Gen",(Active Learning Experience),,,,,,,,,
201713,30217,CSC,495,E,Summer Student Programmer 2018,1,F,A,0,1,-1,,,,,,Nakazawa,Mario,nakazawam,Heggen,Scott,heggens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110101,"Computer/Information Sci, Gen",(Active Learning Experience),,,,,,,,,
201713,30218,CSC,495,F,Summer Student Programmer: BC,1,F,A,0,1,-1,,,,,,Nakazawa,Mario,nakazawam,Heggen,Scott,heggens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110101,"Computer/Information Sci, Gen",(Active Learning Experience),,,,,,,,,
201713,30219,CSC,495,G,Machine Learning: LBNL,1,F,A,0,1,-1,,,,,,Nakazawa,Mario,nakazawam,Heggen,Scott,heggens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110101,"Computer/Information Sci, Gen",(Active Learning Experience),,,,,,,,,
201713,30220,CSC,495,H,Tech Advr and Web Dvlp: Rnw/Rc,1,F,A,0,1,-1,,,,,,Nakazawa,Mario,nakazawam,Heggen,Scott,heggens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110101,"Computer/Information Sci, Gen",(Active Learning Experience),,,,,,,,,
201713,30221,BUS,490B,EM,Internal Auditing,1,I,A,1,1,0,,,,,,McCormack,George,mccormacke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520101,"Business, General",,,,,,,,,,
201713,30222,EDS,495E,A,English Teaching in Japan,1.5,F,A,0,1,-1,,,,,,Richey,Jeffrey,richeyj,Wong,Penelope,wongp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130101,"Education, General",,,,,,,,,,
201713,30223,ENG,395,B,English Education Internship,1,F,A,0,1,-1,,,,,,Crachiolo,Beth,crachiolob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Unknown CIP,(Active Learning Experience),,,,,,,,,
201713,30224,ENG,495,A,Healing Through Arts & Activsm,1,F,A,0,2,-2,,,,,,Baskin,Andrew,baskina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230101,"English Language/Lit, General",(Active Learning Experience),,,,,,,,,
201713,30225,HHP,395,F,Strength & Conditioning Intern,1,F,A,0,1,-1,,,,,,Mortara,Anthony,mortaraa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310501,"Health & Physical Ed, General",(Active Learning Experience),,,,,,,,,
201713,30226,MAT,395,A,Data Modeling,1,F,A,0,1,-1,,,,,,Gratton,Larry,grattonl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270101,"Mathematics, General",(Active Learning Experience),,,,,,,,,
